freq,ori,sf,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,Run,expName,participant,frameRate,
1,0,0.03,"[0, 0]",0,0,0,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",0,1,1,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",0,2,2,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",0,3,3,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",0,4,4,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",0,5,5,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",0,6,6,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",0,7,7,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",1,0,8,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",1,1,9,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",1,2,10,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",1,3,11,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",1,4,12,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",1,5,13,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",1,6,14,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",1,7,15,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",2,0,16,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",2,1,17,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",2,2,18,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",2,3,19,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",2,4,20,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",2,5,21,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",2,6,22,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",2,7,23,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",3,0,24,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",3,1,25,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",3,2,26,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",3,3,27,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",3,4,28,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",3,5,29,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",3,6,30,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",3,7,31,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",4,0,32,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",4,1,33,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",4,2,34,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",4,3,35,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",4,4,36,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",4,5,37,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",4,6,38,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",4,7,39,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",5,0,40,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",5,1,41,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",5,2,42,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",5,3,43,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",5,4,44,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",5,5,45,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",5,6,46,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",5,7,47,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",6,0,48,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",6,1,49,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",6,2,50,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",6,3,51,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",6,4,52,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",6,5,53,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",6,6,54,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",6,7,55,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",7,0,56,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",7,1,57,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",7,2,58,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",7,3,59,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",7,4,60,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",7,5,61,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
